Input Index,Mapped Position,Identifier,Input Label,Label Name,BMU Distance
272,0,NDARINV72Z70LY1,5,ABCD-ASD,2.370348142152037
285,0,NDARINV96YWY80W,5,ABCD-ASD,0.7949780902485978
307,0,NDARINVCCBRA37Z,5,ABCD-ASD,30.59699382919942
311,0,NDARINVCWB97KGL,5,ABCD-ASD,2.2017616698937443
364,0,NDARINVPXTT0UB0,5,ABCD-ASD,2.863628859692414
376,0,NDARINVVRX7WTKX,5,ABCD-ASD,4.100284121832855
381,0,NDARINVX225RA0Y,5,ABCD-ASD,3.5583010212356245
382,0,NDARINVXLP913HM,5,ABCD-ASD,2.3512427938361324
41,1,IBIS247315,1,HR-Typical,2.7105141859441226
81,1,IBIS476634,1,HR-Typical,1.5262641163112018
97,1,IBIS525057,1,HR-Typical,2.8048066775178833
112,1,IBIS214027,2,Atypical,1.0432587097479273
134,1,IBIS796006,2,Atypical,2.1481457868175706
136,1,IBIS822865,2,Atypical,2.4449042372295287
144,1,IBIS105477,3,Down Syndrome,7.966043296150017
145,1,IBIS110925,3,Down Syndrome,6.5831339308075965
147,1,IBIS146443,3,Down Syndrome,4.25191303067053
148,1,IBIS241887,3,Down Syndrome,6.14114248431405
149,1,IBIS270140,3,Down Syndrome,4.444818990393457
154,1,IBIS509327,3,Down Syndrome,2.380344415555505
155,1,IBIS514978,3,Down Syndrome,6.928710070893556
156,1,IBIS546895,3,Down Syndrome,6.622623702657554
158,1,IBIS615948,3,Down Syndrome,11.343361441840825
159,1,IBIS688878,3,Down Syndrome,6.503445317892426
161,1,IBIS718082,3,Down Syndrome,6.463355252030699
162,1,IBIS734750,3,Down Syndrome,6.041981828209132
163,1,IBIS767531,3,Down Syndrome,6.57505730724309
164,1,IBIS782429,3,Down Syndrome,4.272816750716072
166,1,IBIS828516,3,Down Syndrome,3.359690724430342
169,1,IBIS965321,3,Down Syndrome,3.385240643712018
171,1,IBIS984945,3,Down Syndrome,4.919290873500857
177,1,IBIS110925,4,IBIS-ASD,6.5831339308075965
222,1,IBIS688878,4,IBIS-ASD,6.503445317892426
259,1,NDARINV3NGLDPCG,5,ABCD-ASD,6.9089683223431315
280,1,NDARINV84EPJRY1,5,ABCD-ASD,3.5971721834396604
292,1,NDARINVAF36HM7X,5,ABCD-ASD,10.434755264509223
354,1,NDARINVMG9REUL8,5,ABCD-ASD,4.037659471237044
389,1,NDARINVYHJRWF2C,5,ABCD-ASD,3.420153971573238
416,1,CONTE0107-2-1,6,Conte,4.004908628511557
418,1,CONTE0107-2,6,Conte,4.048231591925439
425,1,CONTE-TRIOT0060-1-1,6,Conte,1.4029654834845646
429,1,CONTE-TRIOT0062-1-1,6,Conte,1.6097382733068777
431,1,CONTE-TRIOT0062-1-2,6,Conte,1.1238437825152774
468,1,CONTE0176-2-1,6,Conte,2.562348498716029
470,1,CONTE0176-2,6,Conte,2.5164305260149997
478,1,CONTE-TRIOneo-0205-1-2,6,Conte,4.674978294492246
503,1,CONTE0213-1-1,6,Conte,3.6689000240492065
512,1,CONTE0235-1-1,6,Conte,1.8110593971151758
513,1,CONTE0235-1,6,Conte,2.273971579087078
531,1,CONTE0282-1-1,6,Conte,2.7124033066037527
536,1,CONTE0302-1-1,6,Conte,3.840045140628909
539,1,CONTE0308-1-1,6,Conte,2.4127213408957133
546,1,CONTE0339-1-1,6,Conte,2.7915752410802854
550,1,CONTE0343-2-1,6,Conte,3.219090917669797
552,1,CONTE0345-1-1,6,Conte,2.72794651903449
563,1,CONTE0382-1-1,6,Conte,5.691644870547383
583,1,CONTE0440-1-1,6,Conte,2.0611129529164947
592,1,CONTE0473-1-1,6,Conte,1.854922230584049
595,1,CONTE0480-1-1,6,Conte,1.5310213758841391
596,1,CONTE0480-1-2,6,Conte,2.924409339270904
616,1,CONTE0544-1-1,6,Conte,2.785713004741344
629,1,CONTE0588-1-1,6,Conte,5.343170758161185
632,1,CONTE0596-1-1,6,Conte,2.5811235101196557
635,1,CONTE0599-1-1,6,Conte,1.9150158301912967
640,1,TWINST0009-1-1,6,Conte,6.036046582071196
642,1,TWINST0011-1-1,6,Conte,7.625119771579994
648,1,TWINST0024-1-2,6,Conte,2.342261348642849
667,1,TWINST0060-1-1,6,Conte,2.7554530862011073
669,1,TWINST0062-1-1,6,Conte,2.8491734950689214
670,1,TWINST0062-1-2,6,Conte,3.316421138346262
711,1,TWINST0130-2-2,6,Conte,1.5257679860433775
715,1,TWINST0135-1-1,6,Conte,2.883996153109827
721,1,TWINST0148-1-1,6,Conte,3.4640533141908016
722,1,TWINST0148-1-2,6,Conte,3.9478054578413895
728,1,TWINST0153-1-1,6,Conte,3.270133551862706
729,1,TWINST0153-1-2,6,Conte,4.242693398911717
732,1,TWINST0158-1-1,6,Conte,3.8058445016092044
735,1,TWINST0160-1-2,6,Conte,2.1085044815746636
736,1,TWINST0169-1-1,6,Conte,2.5431888964585525
745,1,TWINST0190-1-1,6,Conte,7.6306980465294
746,1,TWINST0190-1-2,6,Conte,7.778041027758639
772,1,TWINST0219-1-2,6,Conte,5.968366408873092
805,1,TWINST0272-1-1,6,Conte,4.569471300501876
837,1,TWINST0324-1-2,6,Conte,2.9017644383191197
838,1,TWINST0325-1-1,6,Conte,6.024567492562846
839,1,TWINST0325-1-2,6,Conte,6.626824852621363
183,2,IBIS160209,4,IBIS-ASD,1.8882058016242296
530,2,CONTE0280-1-1,6,Conte,3.1396742368305817
578,2,CONTE0419-1-1,6,Conte,1.4793009572827722
733,2,TWINST0158-1-2,6,Conte,2.1279795239364065
4,3,IBIS540777,1,HR-Typical,2.8153581871925213
8,3,IBIS565029,1,HR-Typical,0.9247631356066762
42,3,IBIS769118,1,HR-Typical,3.4853998683824132
56,3,IBIS822794,1,HR-Typical,1.7566465831051368
58,3,IBIS823104,1,HR-Typical,5.921495665312017
93,3,IBIS510700,1,HR-Typical,3.903854147869468
118,3,IBIS472857,2,Atypical,1.7087789065380878
122,3,IBIS516442,2,Atypical,1.0495729258947162
128,3,IBIS726000,2,Atypical,2.4808282674633197
137,3,IBIS856269,2,Atypical,2.356186331575319
178,3,IBIS910593,4,IBIS-ASD,3.4837097194439552
181,3,IBIS155712,4,IBIS-ASD,1.6840991549683728
