Input Index,Mapped Position,Identifier,Input Label,Label Name,BMU Distance
24,"(0, 0)",CONTE0378-1-1,0,CONTE-Outlier,1.2055778194090956
44,"(0, 0)",CONTE0482-1-1,0,CONTE-Outlier,0.631943405146458
48,"(0, 0)",CONTE0506-1-1,0,CONTE-Outlier,4.302399205606532
51,"(0, 0)",CONTE0549-1-1,0,CONTE-Outlier,2.955087955960064
89,"(0, 0)",TWINST0313-1-1,0,CONTE-Outlier,1.3367822420392121
0,"(1, 0)",CONTE0087-2-1,0,CONTE-Outlier,2.3075777674703866
15,"(1, 0)",CONTE0270-1-1,0,CONTE-Outlier,2.9365268595863667
39,"(1, 0)",CONTE0463-1-1,0,CONTE-Outlier,1.981261931260622
9,"(3, 0)",CONTE0180-1-1,0,CONTE-Outlier,3.890910155518487
10,"(3, 0)",CONTE0195-1-1,0,CONTE-Outlier,2.6814885224921188
20,"(3, 0)",CONTE0346-2-1,0,CONTE-Outlier,1.972934036507363
28,"(3, 0)",CONTE0399-1-1,0,CONTE-Outlier,1.6166382895837161
36,"(3, 0)",CONTE0449-1-1,0,CONTE-Outlier,1.3146253362479285
78,"(3, 0)",TWINST0180-1-1,0,CONTE-Outlier,1.782985984674799
79,"(3, 0)",TWINST0198-1-1,0,CONTE-Outlier,10.583885462481607
87,"(3, 0)",TWINST0288-1-2,0,CONTE-Outlier,2.1794511335895743
1,"(2, 0)",CONTE0091-2-1,0,CONTE-Outlier,2.468747088788921
33,"(2, 0)",CONTE0434-1-1,0,CONTE-Outlier,5.188659295644971
61,"(2, 0)",TWINST0052-1-2,0,CONTE-Outlier,3.5940317754758464
25,"(0, 3)",CONTE0382-1-1,0,CONTE-Outlier,1.551569547722102
90,"(0, 3)",TWINST0324-1-2,0,CONTE-Outlier,2.278279863162379
2,"(0, 2)",CONTE0107-2-1,0,CONTE-Outlier,2.005026007452662
8,"(0, 2)",CONTE-TRIOneo-0197-1-1,0,CONTE-Outlier,3.585340052532702
19,"(0, 2)",CONTE0308-1-1,0,CONTE-Outlier,1.5872833423292014
41,"(0, 2)",CONTE0473-1-1,0,CONTE-Outlier,2.018277365969642
56,"(0, 2)",CONTE0596-1-1,0,CONTE-Outlier,1.5776907825801598
62,"(0, 2)",TWINST0060-1-1,0,CONTE-Outlier,0.8125566886260914
63,"(0, 2)",TWINST0062-1-1,0,CONTE-Outlier,1.4273824847542453
76,"(0, 2)",TWINST0160-1-2,0,CONTE-Outlier,1.1368039770341445
6,"(1, 3)",CONTE-TRIOneo-0075-1-1,0,CONTE-Outlier,2.0360126968007406
26,"(1, 3)",CONTE0386-1-1,0,CONTE-Outlier,1.8413451911875836
47,"(1, 3)",CONTE0502-1-1,0,CONTE-Outlier,1.3605112927352383
77,"(1, 3)",TWINST0169-1-2,0,CONTE-Outlier,1.3104168986371794
83,"(1, 3)",TWINST0247-1-1,0,CONTE-Outlier,0.6142907979283215
12,"(1, 2)",CONTE0211-1-1,0,CONTE-Outlier,1.0698340695467843
17,"(1, 2)",CONTE0280-1-1,0,CONTE-Outlier,2.4904295899863333
64,"(1, 2)",TWINST0072-1-1,0,CONTE-Outlier,1.1728475600075292
68,"(1, 2)",TWINST0117-1-2,0,CONTE-Outlier,1.2630743394877058
70,"(1, 2)",TWINST0120-1-2,0,CONTE-Outlier,1.3741576927158692
73,"(1, 2)",TWINST0149-1-1,0,CONTE-Outlier,0.4422300246021048
75,"(1, 2)",TWINST0158-1-2,0,CONTE-Outlier,2.2180465469858577
13,"(2, 3)",CONTE0232-2-1,0,CONTE-Outlier,1.4114857513077796
21,"(2, 3)",CONTE0348-1-1,0,CONTE-Outlier,1.0221615577069987
32,"(2, 3)",CONTE0426-1-1,0,CONTE-Outlier,0.6164000719945572
34,"(2, 3)",CONTE0444-1-1,0,CONTE-Outlier,1.6063217872485853
55,"(2, 3)",CONTE0562-1-1,0,CONTE-Outlier,1.2060107587697222
66,"(2, 3)",TWINST0101-1-2,0,CONTE-Outlier,1.3675397717919653
82,"(2, 3)",TWINST0245-1-1,0,CONTE-Outlier,1.481660299444883
88,"(2, 3)",TWINST0297-1-2,0,CONTE-Outlier,1.268332342529017
5,"(2, 2)",CONTE0160-1-1,0,CONTE-Outlier,1.0773329428746106
22,"(2, 2)",CONTE0353-1-1,0,CONTE-Outlier,0.9465965020450309
30,"(3, 3)",CONTE0403-1-1,0,CONTE-Outlier,1.1961868735166097
42,"(3, 3)",CONTE0474-1-1,0,CONTE-Outlier,0.9468969801354902
43,"(3, 3)",CONTE0478-1-1,0,CONTE-Outlier,1.3866490668288596
50,"(3, 3)",CONTE0524-1-1,0,CONTE-Outlier,0.9913579710970657
71,"(3, 3)",TWINST0131-1-1,0,CONTE-Outlier,1.7820938797800516
3,"(3, 2)",CONTE0137-2-1,0,CONTE-Outlier,1.1575265658957987
14,"(3, 2)",CONTE0237-1-1,0,CONTE-Outlier,1.079739961770184
16,"(3, 2)",CONTE0273-1-1,0,CONTE-Outlier,0.9993220344040922
23,"(3, 2)",CONTE0355-1-1,0,CONTE-Outlier,3.4650123414919434
29,"(3, 2)",CONTE0402-1-1,0,CONTE-Outlier,0.5003575721487147
31,"(3, 2)",CONTE0408-1-1,0,CONTE-Outlier,1.329349264263512
40,"(3, 2)",CONTE0464-1-1,0,CONTE-Outlier,0.9703866034391783
52,"(3, 2)",CONTE0552-1-1,0,CONTE-Outlier,1.8502436277123047
